dimension,key,runs,completeRuns,wins,ties,losses,winRate,wilsonLow,wilsonHigh,meanDelta,medianDelta,medianRelativeDelta,meanBootstrapLow,meanBootstrapHigh,medianBootstrapLow,medianBootstrapHigh,p99WithinTenPercent,relevant
overall,advisor-overdrive-a1.05,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
overall,advisor-overdrive-a1.10,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
overall,advisor-overdrive-a1.20,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
overall,advisor-overdrive-a1.35,1,1,0,0,1,0,0,0.7934567085261071,1,1,0.023255813953488372,1,1,1,1,true,false
overall,advisor-overdrive-a1.50,1,1,0,0,1,0,0,0.7934567085261071,4,4,0.09302325581395349,4,4,4,4,true,false
overall,advisor-overdrive-a2.00,1,1,0,0,1,0,0,0.7934567085261071,3,3,0.06976744186046512,3,3,3,3,true,false
overall,per-source-lossless,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
overall,adaptive-advisor-overdrive,1,1,1,0,0,1,0.20654329147389294,1,-1,-1,-0.023255813953488372,-1,-1,-1,-1,true,false
overall,max-rate-recovery,1,1,0,0,1,0,0,0.7934567085261071,7,7,0.16279069767441862,7,7,7,7,false,false
overall,member-formula-rate,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
overall,no-recovery-max-rate,1,0,0,0,0,,,,,,,,,,,true,false
