pairedScenarioId,phase,policy,placement,profile,payloadBlocks,capacity,bufferLimit,seed,complete,baselineCct,cct,deltaCct,relativeDelta,baselineFctP99,fctP99,p99Regression
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8,A,advisor-overdrive-a1.05,rack-compact,4,100,10,8,1,true,54,52,-2,-0.037037037037037035,54,52,-0.037037037037037035
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8,A,advisor-overdrive-a1.10,rack-compact,4,100,10,8,1,true,54,50,-4,-0.07407407407407407,54,50,-0.07407407407407407
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8,A,advisor-overdrive-a1.20,rack-compact,4,100,10,8,1,true,54,47,-7,-0.12962962962962962,54,47,-0.12962962962962962
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8,A,advisor-overdrive-a1.35,rack-compact,4,100,10,8,1,true,54,45,-9,-0.16666666666666666,54,45,-0.16666666666666666
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8,A,advisor-overdrive-a1.50,rack-compact,4,100,10,8,1,true,54,43,-11,-0.2037037037037037,54,43,-0.2037037037037037
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8,A,advisor-overdrive-a2.00,rack-compact,4,100,10,8,1,true,54,43,-11,-0.2037037037037037,54,43,-0.2037037037037037
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8,A,per-source-lossless,rack-compact,4,100,10,8,1,true,54,54,0,0,54,54,0
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8,A,adaptive-advisor-overdrive,rack-compact,4,100,10,8,1,true,54,54,0,0,54,54,0
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8,A,max-rate-recovery,rack-compact,4,100,10,8,1,true,54,50,-4,-0.07407407407407407,54,50,-0.07407407407407407
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8,A,member-formula-rate,rack-compact,4,100,10,8,1,true,54,43,-11,-0.2037037037037037,54,43,-0.2037037037037037
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8,A,no-recovery-max-rate,rack-compact,4,100,10,8,1,false,54,,,,54,,
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16,B-training,adaptive-lhs-01,random-balanced,4,100,10,16,6,true,38,38,0,0,38,38,0
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16,B-training,adaptive-lhs-02,random-balanced,4,100,10,16,6,true,38,40,2,0.05263157894736842,38,40,0.05263157894736842
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16,B-training,adaptive-lhs-03,random-balanced,4,100,10,16,6,true,38,44,6,0.15789473684210525,38,44,0.15789473684210525
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16,B-training,adaptive-lhs-04,random-balanced,4,100,10,16,6,true,38,42,4,0.10526315789473684,38,42,0.10526315789473684
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16,B-training,adaptive-lhs-05,random-balanced,4,100,10,16,6,true,38,39,1,0.02631578947368421,38,39,0.02631578947368421
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16,B-training,adaptive-lhs-06,random-balanced,4,100,10,16,6,true,38,42,4,0.10526315789473684,38,42,0.10526315789473684
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16,B-training,adaptive-lhs-07,random-balanced,4,100,10,16,6,true,38,38,0,0,38,38,0
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16,B-training,adaptive-lhs-08,random-balanced,4,100,10,16,6,true,38,43,5,0.13157894736842105,38,43,0.13157894736842105
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16,B-training,adaptive-lhs-09,random-balanced,4,100,10,16,6,true,38,39,1,0.02631578947368421,38,39,0.02631578947368421
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16,B-training,adaptive-lhs-10,random-balanced,4,100,10,16,6,true,38,41,3,0.07894736842105263,38,41,0.07894736842105263
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16,B-training,adaptive-lhs-11,random-balanced,4,100,10,16,6,true,38,42,4,0.10526315789473684,38,42,0.10526315789473684
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16,B-training,adaptive-lhs-12,random-balanced,4,100,10,16,6,true,38,39,1,0.02631578947368421,38,39,0.02631578947368421
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16,B-training,per-source-lossless,random-balanced,4,100,10,16,6,true,38,38,0,0,38,38,0
B-validation__random-balanced__profile-2__seed-16__payload-100__capacity-10__buffer-16,B-validation,adaptive-lhs-01,random-balanced,2,100,10,16,16,true,16,16,0,0,16,16,0
B-validation__random-balanced__profile-2__seed-16__payload-100__capacity-10__buffer-16,B-validation,adaptive-lhs-07,random-balanced,2,100,10,16,16,true,16,16,0,0,16,16,0
B-validation__random-balanced__profile-2__seed-16__payload-100__capacity-10__buffer-16,B-validation,adaptive-lhs-05,random-balanced,2,100,10,16,16,true,16,16,0,0,16,16,0
