dimension,key,runs,completeRuns,wins,ties,losses,winRate,wilsonLow,wilsonHigh,meanDelta,medianDelta,medianRelativeDelta,meanBootstrapLow,meanBootstrapHigh,medianBootstrapLow,medianBootstrapHigh,p99WithinTenPercent,relevant
overall,advisor-overdrive-a1.05,1,1,1,0,0,1,0.20654329147389294,1,-2,-2,-0.037037037037037035,-2,-2,-2,-2,true,false
overall,advisor-overdrive-a1.10,1,1,1,0,0,1,0.20654329147389294,1,-4,-4,-0.07407407407407407,-4,-4,-4,-4,true,false
overall,advisor-overdrive-a1.20,1,1,1,0,0,1,0.20654329147389294,1,-7,-7,-0.12962962962962962,-7,-7,-7,-7,true,false
overall,advisor-overdrive-a1.35,1,1,1,0,0,1,0.20654329147389294,1,-9,-9,-0.16666666666666666,-9,-9,-9,-9,true,false
overall,advisor-overdrive-a1.50,6,6,1,4,1,0.16666666666666666,0.03005258587173032,0.563509436563646,154.16666666666666,0,0,-5.5,468,-11,0,false,false
overall,advisor-overdrive-a2.00,1,1,1,0,0,1,0.20654329147389294,1,-11,-11,-0.2037037037037037,-11,-11,-11,-11,true,false
overall,per-source-lossless,7,7,0,7,0,0,0,0.35433884297520657,0,0,0,0,0,0,0,true,false
overall,adaptive-advisor-overdrive,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
overall,max-rate-recovery,2,2,1,1,0,0.5,0.09452865480086614,0.9054713451991339,-2,-4,-0.07407407407407407,-4,0,-4,0,true,false
overall,member-formula-rate,4,4,1,3,0,0.25,0.045586062644636216,0.6993639475573634,-2.75,0,0,-8.25,0,-11,0,true,false
overall,no-recovery-max-rate,2,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
overall,adaptive-lhs-01,2,2,0,2,0,0,0,0.6576280471103807,0,0,0,0,0,0,0,true,false
overall,adaptive-lhs-02,1,1,0,0,1,0,0,0.7934567085261071,2,2,0.05263157894736842,2,2,2,2,true,false
overall,adaptive-lhs-03,1,1,0,0,1,0,0,0.7934567085261071,6,6,0.15789473684210525,6,6,6,6,false,false
overall,adaptive-lhs-04,1,1,0,0,1,0,0,0.7934567085261071,4,4,0.10526315789473684,4,4,4,4,false,false
overall,adaptive-lhs-05,2,2,0,1,1,0,0,0.6576280471103807,0.5,0,0,0,1,0,1,true,false
overall,adaptive-lhs-06,1,1,0,0,1,0,0,0.7934567085261071,4,4,0.10526315789473684,4,4,4,4,false,false
overall,adaptive-lhs-07,2,2,0,2,0,0,0,0.6576280471103807,0,0,0,0,0,0,0,true,false
overall,adaptive-lhs-08,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13157894736842105,5,5,5,5,false,false
overall,adaptive-lhs-09,1,1,0,0,1,0,0,0.7934567085261071,1,1,0.02631578947368421,1,1,1,1,true,false
overall,adaptive-lhs-10,1,1,0,0,1,0,0,0.7934567085261071,3,3,0.07894736842105263,3,3,3,3,true,false
overall,adaptive-lhs-11,1,1,0,0,1,0,0,0.7934567085261071,4,4,0.10526315789473684,4,4,4,4,false,false
overall,adaptive-lhs-12,1,1,0,0,1,0,0,0.7934567085261071,1,1,0.02631578947368421,1,1,1,1,true,false
overall,selected-adaptive-oracle,4,4,0,4,0,0,0,0.48990002040399916,0,0,0,0,0,0,0,true,false
overall,adaptive-feedback-d1,2,2,1,0,1,0.5,0.09452865480086614,0.9054713451991339,5,-29,-0.05731225296442688,-29,39,-29,39,true,false
overall,adaptive-feedback-d4,1,1,1,0,0,1,0.20654329147389294,1,-29,-29,-0.05731225296442688,-29,-29,-29,-29,true,false
overall,adaptive-feedback-d8,1,1,1,0,0,1,0.20654329147389294,1,-29,-29,-0.05731225296442688,-29,-29,-29,-29,true,false
