Scenario Name,Ticks,Total Injected,Repair Injected,Delivered,Data Blocks,Total Drops,Control Reports,Control Blocks,Repair Blocks,Feedback Reports,Rate Updates,Adaptive Control Blocks,Retransmitted Reports,Total Waiting Offset Ticks,Pending Reports,Pending Repairs,Unrecovered Packets,Drops Per Original Block,Repairs Per Original Block,Original TX Complete Tick,Post TX Tail Ticks,Recovery Tail Ticks,Last Repair Completed Tick,Capacity,Buffer Limit,Tenant Rates,Collective CCTs
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-exact-lossless,54,400,0,1200,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,4,0,0,10,8,2|0|0|0,red:54
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.05,52,400,0,1200,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,4,0,0,10,8,2.1|0|0|0,red:52
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.10,50,400,0,1200,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,4,0,0,10,8,2.2|0|0|0,red:50
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.20,47,400,10,1200,400,10,10,0.49999999999999994,10,0,0,0,0,0,0,0,0,0.025,0.025,42,5,5,47,10,8,2.4|0|0|0,red:47
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.35,45,400,83,1200,400,83,83,4.149999999999993,83,0,0,0,0,0,0,0,0,0.2075,0.2075,38,7,7,45,10,8,2.7|0|0|0,red:45
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.50,43,400,132,1200,400,132,132,6.5999999999999845,132,0,0,0,0,0,0,0,0,0.33,0.33,34,9,9,43,10,8,3|0|0|0,red:43
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a2.00,43,400,368,1200,400,368,368,18.400000000000126,368,0,0,0,0,0,0,0,0,0.92,0.92,25,18,18,43,10,8,4|0|0|0,red:43
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-per-source-lossless,54,400,0,1200,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,4,0,0,10,8,2|0|0|0,red:54
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-adaptive-advisor-overdrive,54,400,0,1200,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,4,0,0,10,8,2|0|0|0,red:54
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-max-rate-recovery,50,400,712,1200,400,736,896,40.79999999999982,712,0,0,0,0,0,0,0,0,1.84,1.78,10,40,40,50,10,8,10|0|0|0,red:50
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-member-formula-rate,43,400,224,1200,400,224,224,11.200000000000024,224,0,0,0,0,0,0,0,0,0.56,0.56,30,13,13,43,10,8,3.3333333333333335|0|0|0,red:43
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-no-recovery-max-rate,14,400,0,384,400,496,0,0,0,0,0,0,0,0,0,0,0,1.24,0,10,0,0,0,10,8,10|0|0|0,red:FAILED
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16__policy-adaptive-lhs-01,38,400,0,1200,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,6,0,0,10,16,3.3333333333333335|0|0|0,red:38
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16__policy-adaptive-lhs-02,40,400,0,1200,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,6,0,0,10,16,3.3333333333333335|0|0|0,red:40
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16__policy-adaptive-lhs-03,44,400,0,1200,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,6,0,0,10,16,3.3333333333333335|0|0|0,red:44
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16__policy-adaptive-lhs-04,42,400,0,1200,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,6,0,0,10,16,3.3333333333333335|0|0|0,red:42
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16__policy-adaptive-lhs-05,39,400,0,1200,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,6,0,0,10,16,3.3333333333333335|0|0|0,red:39
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16__policy-adaptive-lhs-06,42,400,0,1200,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,6,0,0,10,16,3.3333333333333335|0|0|0,red:42
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16__policy-adaptive-lhs-07,38,400,0,1200,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,6,0,0,10,16,3.3333333333333335|0|0|0,red:38
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16__policy-adaptive-lhs-08,43,400,0,1200,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,6,0,0,10,16,3.3333333333333335|0|0|0,red:43
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16__policy-adaptive-lhs-09,39,400,0,1200,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,6,0,0,10,16,3.3333333333333335|0|0|0,red:39
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16__policy-adaptive-lhs-10,41,400,0,1200,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,6,0,0,10,16,3.3333333333333335|0|0|0,red:41
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16__policy-adaptive-lhs-11,42,400,0,1200,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,6,0,0,10,16,3.3333333333333335|0|0|0,red:42
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16__policy-adaptive-lhs-12,39,400,0,1200,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,6,0,0,10,16,3.3333333333333335|0|0|0,red:39
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16__policy-advisor-exact-lossless,38,400,0,1200,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,6,0,0,10,16,3.3333333333333335|0|0|0,red:38
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16__policy-per-source-lossless,38,400,0,1200,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,6,0,0,10,16,3.3333333333333335|0|0|0,red:38
B-validation__random-balanced__profile-2__seed-16__payload-100__capacity-10__buffer-16__policy-adaptive-lhs-01,16,200,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,10,16,10|0|0|0,red:16
B-validation__random-balanced__profile-2__seed-16__payload-100__capacity-10__buffer-16__policy-adaptive-lhs-07,16,200,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,10,16,10|0|0|0,red:16
B-validation__random-balanced__profile-2__seed-16__payload-100__capacity-10__buffer-16__policy-adaptive-lhs-05,16,200,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,10,16,10|0|0|0,red:16
B-validation__random-balanced__profile-2__seed-16__payload-100__capacity-10__buffer-16__policy-advisor-exact-lossless,16,200,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,10,16,10|0|0|0,red:16
B-validation__random-balanced__profile-2__seed-16__payload-100__capacity-10__buffer-16__policy-per-source-lossless,16,200,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,10,16,10|0|0|0,red:16
B-validation__random-balanced__profile-2__seed-16__payload-100__capacity-10__buffer-16__policy-advisor-overdrive-a1.50,16,200,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,10,16,10|0|0|0,red:16
C__random-balanced__profile-2__seed-26__payload-100__capacity-20__buffer-128__policy-advisor-exact-lossless,11,200,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,20,128,20|0|0|0,red:11
C__random-balanced__profile-2__seed-26__payload-100__capacity-20__buffer-128__policy-per-source-lossless,11,200,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,20,128,20|0|0|0,red:11
C__random-balanced__profile-2__seed-26__payload-100__capacity-20__buffer-128__policy-selected-adaptive-oracle,11,200,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,20,128,20|0|0|0,red:11
C__random-balanced__profile-2__seed-26__payload-100__capacity-20__buffer-128__policy-advisor-overdrive-a1.50,11,200,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,20,128,20|0|0|0,red:11
C__random-balanced__profile-2__seed-26__payload-100__capacity-20__buffer-128__policy-max-rate-recovery,11,200,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,20,128,20|0|0|0,red:11
C__random-balanced__profile-2__seed-26__payload-100__capacity-20__buffer-128__policy-member-formula-rate,11,200,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,20,128,20|0|0|0,red:11
C__random-balanced__profile-2__seed-26__payload-100__capacity-20__buffer-128__policy-no-recovery-max-rate,11,200,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,20,128,20|0|0|0,red:11
C__random-balanced__profile-2__seed-26__payload-1000__capacity-20__buffer-128__policy-advisor-exact-lossless,56,2000,0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,6,0,0,20,128,20|0|0|0,red:56
C__random-balanced__profile-2__seed-26__payload-1000__capacity-20__buffer-128__policy-per-source-lossless,56,2000,0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,6,0,0,20,128,20|0|0|0,red:56
