dimension,key,runs,completeRuns,wins,ties,losses,winRate,wilsonLow,wilsonHigh,meanDelta,medianDelta,medianRelativeDelta,meanBootstrapLow,meanBootstrapHigh,medianBootstrapLow,medianBootstrapHigh,p99WithinTenPercent,relevant
overall,advisor-overdrive-a1.05,6,6,0,5,1,0,0,0.3903430336530645,21.666666666666668,0,0,0,65,0,0,true,false
placement,advisor-overdrive-a1.05||rack-compact,2,2,0,2,0,0,0,0.6576280471103807,0,0,0,0,0,0,0,true,false
profile,advisor-overdrive-a1.05||4,2,2,0,1,1,0,0,0.6576280471103807,65,0,0,0,130,0,130,true,false
payload,advisor-overdrive-a1.05||100,3,3,0,3,0,0,0,0.5615060804490177,0,0,0,0,0,0,0,true,false
buffer,advisor-overdrive-a1.05||8,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
capacity,advisor-overdrive-a1.05||10,2,2,0,2,0,0,0,0.6576280471103807,0,0,0,0,0,0,0,true,false
overall,advisor-overdrive-a1.10,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
placement,advisor-overdrive-a1.10||rack-compact,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
profile,advisor-overdrive-a1.10||4,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
payload,advisor-overdrive-a1.10||100,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
buffer,advisor-overdrive-a1.10||8,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
capacity,advisor-overdrive-a1.10||10,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
overall,advisor-overdrive-a1.20,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
placement,advisor-overdrive-a1.20||rack-compact,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
profile,advisor-overdrive-a1.20||4,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
payload,advisor-overdrive-a1.20||100,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
buffer,advisor-overdrive-a1.20||8,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
capacity,advisor-overdrive-a1.20||10,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
overall,advisor-overdrive-a1.35,1,1,0,0,1,0,0,0.7934567085261071,1,1,0.023255813953488372,1,1,1,1,true,false
