dimension,key,runs,completeRuns,wins,ties,losses,winRate,wilsonLow,wilsonHigh,meanDelta,medianDelta,medianRelativeDelta,meanBootstrapLow,meanBootstrapHigh,medianBootstrapLow,medianBootstrapHigh,p99WithinTenPercent,relevant
overall,advisor-overdrive-a1.05,6,6,0,5,1,0,0,0.3903430336530645,21.666666666666668,0,0,0,65,0,0,true,false
overall,advisor-overdrive-a1.10,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
overall,advisor-overdrive-a1.20,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
overall,advisor-overdrive-a1.35,1,1,0,0,1,0,0,0.7934567085261071,1,1,0.023255813953488372,1,1,1,1,true,false
overall,advisor-overdrive-a1.50,1,1,0,0,1,0,0,0.7934567085261071,4,4,0.09302325581395349,4,4,4,4,true,false
overall,advisor-overdrive-a2.00,1,1,0,0,1,0,0,0.7934567085261071,3,3,0.06976744186046512,3,3,3,3,true,false
overall,per-source-lossless,7,7,0,7,0,0,0,0.35433884297520657,0,0,0,0,0,0,0,true,false
overall,adaptive-advisor-overdrive,1,1,1,0,0,1,0.20654329147389294,1,-1,-1,-0.023255813953488372,-1,-1,-1,-1,true,false
overall,max-rate-recovery,2,2,0,1,1,0,0,0.6576280471103807,3.5,0,0,0,7,0,7,false,false
overall,member-formula-rate,4,4,0,4,0,0,0,0.48990002040399916,0,0,0,0,0,0,0,true,false
overall,no-recovery-max-rate,2,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
overall,adaptive-lhs-01,2,2,1,1,0,0.5,0.09452865480086614,0.9054713451991339,-0.5,-1,-0.02702702702702703,-1,0,-1,0,true,false
overall,adaptive-lhs-02,2,2,1,1,0,0.5,0.09452865480086614,0.9054713451991339,-0.5,-1,-0.02702702702702703,-1,0,-1,0,true,false
overall,adaptive-lhs-03,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
overall,adaptive-lhs-04,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
overall,adaptive-lhs-05,2,2,1,1,0,0.5,0.09452865480086614,0.9054713451991339,-0.5,-1,-0.02702702702702703,-1,0,-1,0,true,false
overall,adaptive-lhs-06,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
overall,adaptive-lhs-07,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
overall,adaptive-lhs-08,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
overall,adaptive-lhs-09,1,1,1,0,0,1,0.20654329147389294,1,-1,-1,-0.02702702702702703,-1,-1,-1,-1,true,false
overall,adaptive-lhs-10,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
overall,adaptive-lhs-11,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
overall,adaptive-lhs-12,1,1,1,0,0,1,0.20654329147389294,1,-1,-1,-0.02702702702702703,-1,-1,-1,-1,true,false
overall,selected-adaptive-oracle,4,4,0,3,1,0,0,0.48990002040399916,0.25,0,0,0,0.75,0,1,true,false
overall,adaptive-feedback-d1,2,2,0,0,2,0,0,0.6576280471103807,94,24,0.046875,24,164,24,164,false,false
overall,adaptive-feedback-d4,1,1,0,0,1,0,0,0.7934567085261071,24,24,0.046875,24,24,24,24,true,false
overall,adaptive-feedback-d8,1,1,0,0,1,0,0,0.7934567085261071,24,24,0.046875,24,24,24,24,true,false
