Scenario Name,Ticks,Total Injected,Repair Injected,Delivered,Data Blocks,Total Drops,Control Reports,Control Blocks,Repair Blocks,Feedback Reports,Rate Updates,Adaptive Control Blocks,Retransmitted Reports,Total Waiting Offset Ticks,Pending Reports,Pending Repairs,Unrecovered Packets,Drops Per Original Block,Repairs Per Original Block,Original TX Complete Tick,Post TX Tail Ticks,Recovery Tail Ticks,Last Repair Completed Tick,Capacity,Buffer Limit,Tenant Rates,Collective CCTs
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-exact-lossless,43,400,224,1200,400,224,224,11.200000000000024,224,0,0,0,0,0,0,0,0,0.56,0.56,30,13,13,43,10,8,3.3333333333333335|0|0|0,red:43
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.05,43,400,264,1200,400,264,264,13.200000000000053,264,0,0,0,0,0,0,0,0,0.66,0.66,29,14,14,43,10,8,3.5000000000000004|0|0|0,red:43
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.10,43,400,301,1200,400,301,301,15.050000000000079,301,0,0,0,0,0,0,0,0,0.7525,0.7525,28,15,15,43,10,8,3.666666666666667|0|0|0,red:43
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.20,43,400,368,1200,400,368,368,18.400000000000126,368,0,0,0,0,0,0,0,0,0.92,0.92,25,18,18,43,10,8,4|0|0|0,red:43
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.35,44,400,446,1200,400,446,478,23.900000000000205,446,0,0,0,0,0,0,0,0,1.115,1.115,23,21,21,44,10,8,4.500000000000001|0|0|0,red:44
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.50,47,400,502,1200,400,502,606,30.300000000000296,502,0,0,0,0,0,0,0,0,1.255,1.255,20,27,27,47,10,8,5|0|0|0,red:47
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a2.00,46,400,650,1200,400,650,746,37.30000000000002,650,0,0,0,0,0,0,0,0,1.625,1.625,15,31,31,46,10,8,6.666666666666667|0|0|0,red:46
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-per-source-lossless,43,400,224,1200,400,224,224,11.200000000000024,224,0,0,0,0,0,0,0,0,0.56,0.56,30,13,13,43,10,8,3.3333333333333335|0|0|0,red:43
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-adaptive-advisor-overdrive,42,400,227,1200,400,227,227,11.350000000000026,227,0,0,0,0,0,0,0,0,0.5675,0.5675,30,12,12,42,10,8,3.3333333333333335|0|0|0,red:42
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-max-rate-recovery,50,400,712,1200,400,736,896,40.79999999999982,712,0,0,0,0,0,0,0,0,1.84,1.78,10,40,40,50,10,8,10|0|0|0,red:50
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-member-formula-rate,43,400,224,1200,400,224,224,11.200000000000024,224,0,0,0,0,0,0,0,0,0.56,0.56,30,13,13,43,10,8,3.3333333333333335|0|0|0,red:43
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-no-recovery-max-rate,14,400,0,384,400,496,0,0,0,0,0,0,0,0,0,0,0,1.24,0,10,0,0,0,10,8,10|0|0|0,red:FAILED
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16__policy-adaptive-lhs-01,36,400,0,1200,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,6,0,0,10,16,3.3333333333333335|0|0|0,red:36
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16__policy-adaptive-lhs-02,36,400,0,1200,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,6,0,0,10,16,3.3333333333333335|0|0|0,red:36
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16__policy-adaptive-lhs-03,42,400,25,1200,400,25,25,1.2500000000000004,25,0,0,0,0,0,0,0,0,0.0625,0.0625,29,13,13,42,10,16,3.3333333333333335|0|0|0,red:42
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16__policy-adaptive-lhs-04,42,400,7,1200,400,7,7,0.35,7,0,0,0,0,0,0,0,0,0.0175,0.0175,30,12,12,42,10,16,3.3333333333333335|0|0|0,red:42
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16__policy-adaptive-lhs-05,36,400,0,1200,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,6,0,0,10,16,3.3333333333333335|0|0|0,red:36
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16__policy-adaptive-lhs-06,42,400,12,1200,400,12,12,0.6,12,0,0,0,0,0,0,0,0,0.03,0.03,30,12,12,42,10,16,3.3333333333333335|0|0|0,red:42
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16__policy-adaptive-lhs-07,42,400,15,1200,400,15,15,0.7500000000000001,15,0,0,0,0,0,0,0,0,0.0375,0.0375,29,13,13,42,10,16,3.3333333333333335|0|0|0,red:42
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16__policy-adaptive-lhs-08,42,400,22,1200,400,22,22,1.1000000000000003,22,0,0,0,0,0,0,0,0,0.055,0.055,29,13,13,42,10,16,3.3333333333333335|0|0|0,red:42
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16__policy-adaptive-lhs-09,36,400,0,1200,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,6,0,0,10,16,3.3333333333333335|0|0|0,red:36
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16__policy-adaptive-lhs-10,42,400,8,1200,400,8,8,0.39999999999999997,8,0,0,0,0,0,0,0,0,0.02,0.02,30,12,12,42,10,16,3.3333333333333335|0|0|0,red:42
B-training__random-balanced__profile-4__seed-6__payload-100__capacity-10__buffer-16__policy-adaptive-lhs-11,42,400,15,1200,400,15,15,0.7500000000000001,15,0,0,0,0,0,0,0,0,0.0375,0.0375,30,12,12,42,10,16,3.3333333333333335|0|0|0,red:42
