Scenario Name,Host,Collective,Start Offset Ticks,Activation Tick,Original TX Complete Tick,Waiting Offset Ticks,Configured Rate,Rx Total,Complete,CCT Ticks,Breakdown
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-exact-lossless,H_0_0,red,0,0,30,0,3.3333333333333335,300,true,42,H_0_1:100/100:42|H_0_2:100/100:34|H_0_3:100/100:34
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-exact-lossless,H_0_1,red,0,0,30,0,3.3333333333333335,300,true,42,H_0_0:100/100:42|H_0_2:100/100:34|H_0_3:100/100:34
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-exact-lossless,H_0_2,red,0,0,30,0,3.3333333333333335,300,true,43,H_0_0:100/100:34|H_0_1:100/100:34|H_0_3:100/100:43
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-exact-lossless,H_0_3,red,0,0,30,0,3.3333333333333335,300,true,43,H_0_0:100/100:34|H_0_1:100/100:34|H_0_2:100/100:43
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-exact-lossless,H_1_0,inactive,0,,,0,0,0,true,,
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-exact-lossless,H_1_1,inactive,0,,,0,0,0,true,,
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-exact-lossless,H_1_2,inactive,0,,,0,0,0,true,,
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-exact-lossless,H_1_3,inactive,0,,,0,0,0,true,,
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-exact-lossless,H_2_0,inactive,0,,,0,0,0,true,,
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-exact-lossless,H_2_1,inactive,0,,,0,0,0,true,,
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-exact-lossless,H_2_2,inactive,0,,,0,0,0,true,,
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-exact-lossless,H_2_3,inactive,0,,,0,0,0,true,,
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-exact-lossless,H_3_0,inactive,0,,,0,0,0,true,,
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-exact-lossless,H_3_1,inactive,0,,,0,0,0,true,,
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-exact-lossless,H_3_2,inactive,0,,,0,0,0,true,,
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-exact-lossless,H_3_3,inactive,0,,,0,0,0,true,,
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.10,H_0_0,red,0,0,28,0,3.666666666666667,300,true,42,H_0_1:100/100:42|H_0_2:100/100:32|H_0_3:100/100:32
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.10,H_0_1,red,0,0,28,0,3.666666666666667,300,true,42,H_0_0:100/100:42|H_0_2:100/100:32|H_0_3:100/100:32
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.10,H_0_2,red,0,0,28,0,3.666666666666667,300,true,43,H_0_0:100/100:32|H_0_1:100/100:32|H_0_3:100/100:43
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.10,H_0_3,red,0,0,28,0,3.666666666666667,300,true,43,H_0_0:100/100:32|H_0_1:100/100:32|H_0_2:100/100:43
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.10,H_1_0,inactive,0,,,0,0,0,true,,
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.10,H_1_1,inactive,0,,,0,0,0,true,,
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.10,H_1_2,inactive,0,,,0,0,0,true,,
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.10,H_1_3,inactive,0,,,0,0,0,true,,
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.10,H_2_0,inactive,0,,,0,0,0,true,,
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.10,H_2_1,inactive,0,,,0,0,0,true,,
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.10,H_2_2,inactive,0,,,0,0,0,true,,
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.10,H_2_3,inactive,0,,,0,0,0,true,,
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.10,H_3_0,inactive,0,,,0,0,0,true,,
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.10,H_3_1,inactive,0,,,0,0,0,true,,
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.10,H_3_2,inactive,0,,,0,0,0,true,,
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.10,H_3_3,inactive,0,,,0,0,0,true,,
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.35,H_0_0,red,0,0,23,0,4.500000000000001,300,true,44,H_0_1:100/100:43|H_0_2:100/100:27|H_0_3:100/100:44
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8__policy-advisor-overdrive-a1.35,H_0_1,red,0,0,23,0,4.500000000000001,300,true,44,H_0_0:100/100:44|H_0_2:100/100:27|H_0_3:100/100:44
