Scenario Name,Policy,Placement,Group Size,Collective Count,Payload Blocks,Buffer Limit,Seed,Collective,Members,Max Load Factor,Recommended Lossless Rate,Combined Max Load Factor,Combined Recommended Uniform Rate,Per Source Recommended Rates,Overdrive Alpha,Bottleneck Links,Root Spine,Estimated Spine Blocks,Applied Host Offsets
smoke__advisor-exact-lossless__rack-compact__g4__c1__p100__b16__s1,advisor-exact-lossless,rack-compact,4,1,100,16,1,red,4,3,3.3333333333333335,3,3.3333333333333335,H_0_0:3.3333333333333335|H_0_1:3.3333333333333335|H_0_2:3.3333333333333335|H_0_3:3.3333333333333335,,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,10,
smoke__advisor-exact-lossless__rack-compact__g4__c1__p100__b16__s1,advisor-exact-lossless,rack-compact,4,1,100,16,1,green,0,0,0,3,3.3333333333333335,H_0_0:3.3333333333333335|H_0_1:3.3333333333333335|H_0_2:3.3333333333333335|H_0_3:3.3333333333333335,,,,,
smoke__advisor-exact-lossless__rack-compact__g4__c1__p100__b16__s1,advisor-exact-lossless,rack-compact,4,1,100,16,1,blue,0,0,0,3,3.3333333333333335,H_0_0:3.3333333333333335|H_0_1:3.3333333333333335|H_0_2:3.3333333333333335|H_0_3:3.3333333333333335,,,,,
smoke__advisor-exact-lossless__rack-compact__g4__c1__p100__b16__s1,advisor-exact-lossless,rack-compact,4,1,100,16,1,orange,0,0,0,3,3.3333333333333335,H_0_0:3.3333333333333335|H_0_1:3.3333333333333335|H_0_2:3.3333333333333335|H_0_3:3.3333333333333335,,,,,
smoke__advisor-overdrive-a1.05__rack-compact__g4__c1__p100__b16__s1,advisor-overdrive-a1.05,rack-compact,4,1,100,16,1,red,4,3,3.3333333333333335,3,3.3333333333333335,H_0_0:3.3333333333333335|H_0_1:3.3333333333333335|H_0_2:3.3333333333333335|H_0_3:3.3333333333333335,1.05,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,10.500000000000002,
smoke__advisor-overdrive-a1.05__rack-compact__g4__c1__p100__b16__s1,advisor-overdrive-a1.05,rack-compact,4,1,100,16,1,green,0,0,0,3,3.3333333333333335,H_0_0:3.3333333333333335|H_0_1:3.3333333333333335|H_0_2:3.3333333333333335|H_0_3:3.3333333333333335,1.05,,,,
smoke__advisor-overdrive-a1.05__rack-compact__g4__c1__p100__b16__s1,advisor-overdrive-a1.05,rack-compact,4,1,100,16,1,blue,0,0,0,3,3.3333333333333335,H_0_0:3.3333333333333335|H_0_1:3.3333333333333335|H_0_2:3.3333333333333335|H_0_3:3.3333333333333335,1.05,,,,
smoke__advisor-overdrive-a1.05__rack-compact__g4__c1__p100__b16__s1,advisor-overdrive-a1.05,rack-compact,4,1,100,16,1,orange,0,0,0,3,3.3333333333333335,H_0_0:3.3333333333333335|H_0_1:3.3333333333333335|H_0_2:3.3333333333333335|H_0_3:3.3333333333333335,1.05,,,,
smoke__advisor-overdrive-a1.10__rack-compact__g4__c1__p100__b16__s1,advisor-overdrive-a1.10,rack-compact,4,1,100,16,1,red,4,3,3.3333333333333335,3,3.3333333333333335,H_0_0:3.3333333333333335|H_0_1:3.3333333333333335|H_0_2:3.3333333333333335|H_0_3:3.3333333333333335,1.1,RS_0_0.p3<->H_0_1.pU|RS_0_1.p2<->H_0_2.pU|RS_0_1.p3<->H_0_3.pU|RS_0_0.p2<->H_0_0.pU,SS0,11,
smoke__advisor-overdrive-a1.10__rack-compact__g4__c1__p100__b16__s1,advisor-overdrive-a1.10,rack-compact,4,1,100,16,1,green,0,0,0,3,3.3333333333333335,H_0_0:3.3333333333333335|H_0_1:3.3333333333333335|H_0_2:3.3333333333333335|H_0_3:3.3333333333333335,1.1,,,,
