Dimension,Label,Runs,Complete Runs,Completion Rate,Avg CCT,FCT p50,FCT p95,FCT p99,Avg Drops,Avg Repairs,Avg Control Reports,Avg Report Retries,Drops Per Block,Repairs Per Block,Avg Original TX Complete Tick,Avg Post TX Tail Ticks,Avg Recovery Tail Ticks,Avg Waiting Offset Ticks,Avg Hot Ticks,Recovery p95
policy,policy=advisor-exact-lossless,12,12,1.0000,71.56,76,146,147,0.00,0.00,0.00,0.00,0.000000,0.000000,61.67,6.08,0.00,0.00,672.50,
policy,policy=per-source-lossless,12,12,1.0000,71.56,76,146,147,0.00,0.00,0.00,0.00,0.000000,0.000000,61.67,6.08,0.00,0.00,672.50,
policy,policy=adaptive-advisor-overdrive,12,12,1.0000,72.50,76,146,147,6.92,6.92,6.92,0.00,0.005521,0.005521,61.67,7.25,5.08,0.00,682.58,141
policy,policy=advisor-overdrive-a1.05,12,12,1.0000,75.11,74,146,151,235.33,235.33,237.50,27.00,0.206354,0.206354,59.17,12.08,12.08,0.00,715.92,122
policy,policy=advisor-overdrive-a1.10,12,12,1.0000,79.83,71,148,161,459.00,458.00,526.92,121.83,0.419531,0.418906,56.67,19.92,19.92,0.00,738.17,123
policy,policy=advisor-overdrive-a1.20,12,12,1.0000,83.56,68,152,159,920.25,912.75,1110.58,338.17,0.836979,0.832292,51.67,28.08,28.08,0.00,822.75,125
policy,policy=advisor-overdrive-a1.35,12,12,1.0000,101.61,60,165,233,1611.92,1490.83,2200.83,957.75,1.429427,1.353750,46.17,49.00,49.00,0.00,893.92,170
policy,policy=max-rate-recovery,12,12,1.0000,109.06,81,282,295,5669.08,5215.83,8264.83,3964.08,4.718125,4.434010,10.00,95.67,95.67,0.00,1251.83,163
policy,policy=advisor-overdrive-a1.50,12,12,1.0000,123.44,78,186,278,2044.42,1955.42,3009.58,1459.00,1.811562,1.755937,41.33,75.00,75.00,0.00,970.58,196
policy,policy=member-formula-rate,12,12,1.0000,130.39,76,304,432,1801.50,1631.00,2356.92,1476.50,1.125938,1.019375,50.00,66.00,61.08,0.00,1034.50,230
policy,policy=advisor-overdrive-a2.00,12,12,1.0000,143.00,77,304,432,3301.83,3131.17,4860.25,2628.17,2.868490,2.761719,30.83,100.75,100.75,0.00,1162.42,230
policy,policy=no-recovery-max-rate,12,0,0.0000,,18,19,19,1737.50,0.00,0.00,0.00,1.808437,0.000000,10.00,0.00,0.00,0.00,272.42,
placement,placement=rack-compact,48,44,0.9167,57.03,72,81,84,1024.85,901.56,1242.38,368.31,0.978307,0.850312,37.67,15.50,14.08,0.00,604.50,65
