Scenario Name,Ticks,Total Injected,Repair Injected,Delivered,Total Drops,Control Reports,Control Blocks,Repair Blocks,Retransmitted Reports,Total Waiting Offset Ticks,Pending Reports,Pending Repairs,Unrecovered Packets,Drops Per Original Block,Repairs Per Original Block,Original TX Complete Tick,Post TX Tail Ticks,Recovery Tail Ticks,Last Repair Completed Tick,Capacity,Buffer Limit,Tenant Rates,Collective CCTs
smoke__advisor-exact-lossless__rack-compact__g4__c1__p100__b16__s1,34,400,0,1200,0,0,0,0,0,0,0,0,0,0,0,30,4,0,0,10,16,3.3333333333333335|0|0|0,red:34
smoke__advisor-overdrive-a1.05__rack-compact__g4__c1__p100__b16__s1,35,400,28,1200,28,28,1.4000000000000006,28,0,0,0,0,0,0.07,0.07,29,6,6,35,10,16,3.5000000000000004|0|0|0,red:35
smoke__advisor-overdrive-a1.10__rack-compact__g4__c1__p100__b16__s1,34,400,77,1200,77,77,3.8499999999999943,77,0,0,0,0,0,0.1925,0.1925,28,6,6,34,10,16,3.666666666666667|0|0|0,red:34
smoke__advisor-overdrive-a1.20__rack-compact__g4__c1__p100__b16__s1,34,400,160,1200,160,160,7.99999999999998,160,0,0,0,0,0,0.4,0.4,25,9,9,34,10,16,4|0|0|0,red:34
smoke__advisor-overdrive-a1.35__rack-compact__g4__c1__p100__b16__s1,35,400,258,1200,258,258,12.900000000000048,258,0,0,0,0,0,0.645,0.645,23,12,12,35,10,16,4.500000000000001|0|0|0,red:35
smoke__advisor-overdrive-a1.50__rack-compact__g4__c1__p100__b16__s1,35,400,336,1200,336,392,19.600000000000144,336,56,0,0,0,0,0.84,0.84,20,15,15,35,10,16,5|0|0|0,red:35
smoke__advisor-overdrive-a2.00__rack-compact__g4__c1__p100__b16__s1,37,400,452,1200,452,543,27.15000000000025,452,91,0,0,0,0,1.13,1.13,15,22,22,37,10,16,6.666666666666667|0|0|0,red:37
smoke__per-source-lossless__rack-compact__g4__c1__p100__b16__s1,34,400,0,1200,0,0,0,0,0,0,0,0,0,0,0,30,4,0,0,10,16,3.3333333333333335|0|0|0,red:34
smoke__adaptive-advisor-overdrive__rack-compact__g4__c1__p100__b16__s1,34,400,0,1200,0,0,0,0,0,0,0,0,0,0,0,30,4,0,0,10,16,3.3333333333333335|0|0|0,red:34
smoke__max-rate-recovery__rack-compact__g4__c1__p100__b16__s1,37,400,616,1200,616,720,36.00000000000009,616,104,0,0,0,0,1.54,1.54,10,27,27,37,10,16,10|0|0|0,red:37
smoke__member-formula-rate__rack-compact__g4__c1__p100__b16__s1,34,400,0,1200,0,0,0,0,0,0,0,0,0,0,0,30,4,0,0,10,16,3.3333333333333335|0|0|0,red:34
smoke__no-recovery-max-rate__rack-compact__g4__c1__p100__b16__s1,16,400,0,528,484,0,0,0,0,0,0,0,0,1.21,0,10,0,0,0,10,16,10|0|0|0,red:FAILED
smoke__advisor-exact-lossless__rack-compact__g4__c2__p100__b16__s1,34,800,0,2400,0,0,0,0,0,0,0,0,0,0,0,30,4,0,0,10,16,3.3333333333333335|3.3333333333333335|0|0,red:34|green:34
smoke__advisor-overdrive-a1.05__rack-compact__g4__c2__p100__b16__s1,34,800,64,2400,64,64,3.1999999999999966,64,0,0,0,0,0,0.08,0.08,29,5,5,34,10,16,3.5000000000000004|3.5000000000000004|0|0,red:34|green:34
smoke__advisor-overdrive-a1.10__rack-compact__g4__c2__p100__b16__s1,34,800,152,2400,152,152,7.599999999999981,152,0,0,0,0,0,0.19,0.19,28,6,6,34,10,16,3.666666666666667|3.666666666666667|0|0,red:34|green:34
smoke__advisor-overdrive-a1.20__rack-compact__g4__c2__p100__b16__s1,34,800,320,2400,320,320,16.000000000000092,320,0,0,0,0,0,0.4,0.4,25,9,9,34,10,16,4|4|0|0,red:34|green:34
smoke__advisor-overdrive-a1.35__rack-compact__g4__c2__p100__b16__s1,35,800,516,2400,516,516,25.80000000000023,516,0,0,0,0,0,0.645,0.645,23,12,12,35,10,16,4.500000000000001|4.500000000000001|0|0,red:34|green:35
smoke__advisor-overdrive-a1.50__rack-compact__g4__c2__p100__b16__s1,35,800,672,2400,672,784,39.19999999999991,672,112,0,0,0,0,0.84,0.84,20,15,15,35,10,16,5|5|0|0,red:35|green:35
smoke__advisor-overdrive-a2.00__rack-compact__g4__c2__p100__b16__s1,37,800,905,2400,905,1087,54.34999999999905,905,182,0,0,0,0,1.13125,1.13125,15,22,22,37,10,16,6.666666666666667|6.666666666666667|0|0,red:37|green:37
smoke__per-source-lossless__rack-compact__g4__c2__p100__b16__s1,34,800,0,2400,0,0,0,0,0,0,0,0,0,0,0,30,4,0,0,10,16,3.3333333333333335|3.3333333333333335|0|0,red:34|green:34
smoke__adaptive-advisor-overdrive__rack-compact__g4__c2__p100__b16__s1,34,800,0,2400,0,0,0,0,0,0,0,0,0,0,0,30,4,0,0,10,16,3.3333333333333335|3.3333333333333335|0|0,red:34|green:34
smoke__max-rate-recovery__rack-compact__g4__c2__p100__b16__s1,37,800,1232,2400,1232,1440,71.99999999999805,1232,208,0,0,0,0,1.54,1.54,10,27,27,37,10,16,10|10|0|0,red:37|green:37
smoke__member-formula-rate__rack-compact__g4__c2__p100__b16__s1,34,800,0,2400,0,0,0,0,0,0,0,0,0,0,0,30,4,0,0,10,16,3.3333333333333335|3.3333333333333335|0|0,red:34|green:34
smoke__no-recovery-max-rate__rack-compact__g4__c2__p100__b16__s1,16,800,0,1056,968,0,0,0,0,0,0,0,0,1.21,0,10,0,0,0,10,16,10|10|0|0,red:FAILED|green:FAILED
smoke__advisor-exact-lossless__rack-compact__g8__c1__p100__b16__s1,76,800,0,5600,0,0,0,0,0,0,0,0,0,0,0,70,6,0,0,10,16,1.4285714285714286|0|0|0,red:76
smoke__advisor-overdrive-a1.05__rack-compact__g8__c1__p100__b16__s1,76,800,244,5600,244,244,12.200000000000038,244,0,0,0,0,0,0.305,0.305,67,9,9,76,10,16,1.5|0|0|0,red:76
smoke__advisor-overdrive-a1.10__rack-compact__g8__c1__p100__b16__s1,77,800,436,5600,436,436,21.800000000000175,436,0,0,0,0,0,0.545,0.545,64,13,13,77,10,16,1.5714285714285716|0|0|0,red:77
smoke__advisor-overdrive-a1.20__rack-compact__g8__c1__p100__b16__s1,84,800,850,5600,850,870,43.499999999999666,850,20,0,0,0,0,1.0625,1.0625,59,25,25,84,10,16,1.7142857142857142|0|0|0,red:84
smoke__advisor-overdrive-a1.35__rack-compact__g8__c1__p100__b16__s1,81,800,1394,5600,1394,1939,96.94999999999663,1394,545,0,0,0,0,1.7425,1.7425,52,29,29,81,10,16,1.9285714285714288|0|0|0,red:81
smoke__advisor-overdrive-a1.50__rack-compact__g8__c1__p100__b16__s1,82,800,1809,5600,1809,2637,131.84999999999573,1809,904,0,0,0,0,2.26125,2.26125,47,35,35,82,10,16,2.142857142857143|0|0|0,red:82
smoke__advisor-overdrive-a2.00__rack-compact__g8__c1__p100__b16__s1,84,800,2798,5600,2800,4409,220.45000000001588,2798,1903,0,0,0,0,3.5,3.4975,35,48,48,83,10,16,2.857142857142857|0|0|0,red:83
smoke__per-source-lossless__rack-compact__g8__c1__p100__b16__s1,76,800,0,5600,0,0,0,0,0,0,0,0,0,0,0,70,6,0,0,10,16,1.4285714285714286|0|0|0,red:76
smoke__adaptive-advisor-overdrive__rack-compact__g8__c1__p100__b16__s1,76,800,6,5600,6,6,0.3,6,0,0,0,0,0,0.0075,0.0075,70,6,6,75,10,16,1.4285714285714286|0|0|0,red:76
smoke__max-rate-recovery__rack-compact__g8__c1__p100__b16__s1,85,800,4850,5600,4860,7076,353.80000000004617,4850,2292,0,0,0,0,6.075,6.0625,10,75,75,85,10,16,10|0|0|0,red:85
smoke__member-formula-rate__rack-compact__g8__c1__p100__b16__s1,76,800,0,5600,0,0,0,0,0,0,0,0,0,0,0,70,6,0,0,10,16,1.4285714285714286|0|0|0,red:76
smoke__no-recovery-max-rate__rack-compact__g8__c1__p100__b16__s1,19,800,0,1344,1480,0,0,0,0,0,0,0,0,1.85,0,10,0,0,0,10,16,10|0|0|0,red:FAILED
smoke__advisor-exact-lossless__rack-compact__g8__c2__p100__b16__s1,76,1600,0,11200,0,0,0,0,0,0,0,0,0,0,0,70,6,0,0,10,16,1.4285714285714286|1.4285714285714286|0|0,red:76|green:76
smoke__advisor-overdrive-a1.05__rack-compact__g8__c2__p100__b16__s1,76,1600,648,11200,648,648,32.4000000000003,648,0,0,0,0,0,0.405,0.405,67,9,9,76,10,16,1.5|1.5|0|0,red:76|green:76
smoke__advisor-overdrive-a1.10__rack-compact__g8__c2__p100__b16__s1,77,1600,949,11200,949,949,47.44999999999944,949,0,0,0,0,0,0.593125,0.593125,64,13,13,77,10,16,1.5714285714285716|1.5714285714285716|0|0,red:77|green:77
smoke__advisor-overdrive-a1.20__rack-compact__g8__c2__p100__b16__s1,84,1600,1627,11200,1627,1653,82.64999999999745,1627,26,0,0,0,0,1.016875,1.016875,59,25,25,84,10,16,1.7142857142857142|1.7142857142857142|0|0,red:84|green:83
smoke__advisor-overdrive-a1.35__rack-compact__g8__c2__p100__b16__s1,82,1600,2784,11200,2784,3934,196.70000000001048,2784,1150,0,0,0,0,1.74,1.74,52,30,30,82,10,16,1.9285714285714288|1.9285714285714288|0|0,red:81|green:82
