Scenario Name,Ticks,Total Injected,Repair Injected,Delivered,Total Drops,Control Reports,Control Blocks,Repair Blocks,Retransmitted Reports,Total Waiting Offset Ticks,Pending Reports,Pending Repairs,Unrecovered Packets,Capacity,Buffer Limit,Tenant Rates,Collective CCTs
smoke__no-recovery-max-rate__rack-compact__g4__c1__p100__b16__s1,16,400,0,528,484,0,0,0,0,0,0,0,0,10,16,10|0|0|0,red:FAILED
smoke__smart-recovery-max-rate__rack-compact__g4__c1__p100__b16__s1,37,400,616,1200,616,720,36.00000000000009,616,104,0,0,0,0,10,16,10|0|0|0,red:37
smoke__static-lossless-rate__rack-compact__g4__c1__p100__b16__s1,34,400,0,1200,0,0,0,0,0,0,0,0,0,10,16,3.3333333333333335|0|0|0,red:34
smoke__intermediate-rate__rack-compact__g4__c1__p100__b16__s1,37,400,452,1200,452,543,27.15000000000025,452,91,0,0,0,0,10,16,6.666666666666667|0|0|0,red:37
smoke__member-formula-rate__rack-compact__g4__c1__p100__b16__s1,34,400,0,1200,0,0,0,0,0,0,0,0,0,10,16,3.3333333333333335|0|0|0,red:34
smoke__sequential-smart-recovery__rack-compact__g4__c1__p100__b16__s1,56,400,0,1200,0,0,0,0,0,0,0,0,0,10,16,10|0|0|0,red:56
smoke__phase-offset-smart-recovery__rack-compact__g4__c1__p100__b16__s1,37,400,598,1200,598,682,34.1000000000002,598,84,3,0,0,0,10,16,10|0|0|0,red:37
smoke__no-recovery-max-rate__rack-compact__g4__c2__p100__b16__s1,16,800,0,1056,968,0,0,0,0,0,0,0,0,10,16,10|10|0|0,red:FAILED|green:FAILED
smoke__smart-recovery-max-rate__rack-compact__g4__c2__p100__b16__s1,37,800,1232,2400,1232,1440,71.99999999999805,1232,208,0,0,0,0,10,16,10|10|0|0,red:37|green:37
smoke__static-lossless-rate__rack-compact__g4__c2__p100__b16__s1,34,800,0,2400,0,0,0,0,0,0,0,0,0,10,16,3.3333333333333335|3.3333333333333335|0|0,red:34|green:34
