Dimension,Label,Runs,Complete Runs,Completion Rate,Avg CCT,FCT p50,FCT p95,FCT p99,Avg Drops,Avg Repairs,Avg Control Reports,Avg Waiting Offset Ticks,Avg Hot Ticks,Recovery p95
policy,policy=static-lossless-rate,12,10,0.8333,63.14,106,131,155,832.75,628.17,704.33,0.00,253.92,106
policy,policy=member-formula-rate,12,10,0.8333,63.14,106,131,155,832.75,628.17,704.33,0.00,253.92,106
policy,policy=sequential-smart-recovery,12,10,0.8333,121.06,78,329,375,667.67,491.67,579.67,0.00,1369.00,44
policy,policy=smart-recovery-max-rate,12,6,0.5000,46.22,52,83,88,3920.92,3301.17,3448.25,0.00,952.00,52
policy,policy=phase-offset-smart-recovery,12,6,0.5000,46.56,53,82,88,4004.42,3319.17,3467.17,10.50,950.83,53
policy,policy=intermediate-rate,12,6,0.5000,47.11,56,87,96,3998.83,3151.75,3363.50,0.00,947.67,57
policy,policy=no-recovery-max-rate,12,0,0.0000,,18,19,19,1737.50,0.00,0.00,0.00,272.42,
placement,placement=rack-compact,28,18,0.6429,64.70,65,106,128,1580.04,1332.71,1333.07,1.50,474.04,38
placement,placement=random-balanced,28,15,0.5357,71.95,78,180,353,2440.82,1754.96,1858.64,1.50,795.00,101
placement,placement=global-spread,28,15,0.5357,74.27,80,252,375,2834.07,1849.50,2065.68,1.50,873.71,106
policy+placement,"policy=static-lossless-rate, placement=rack-compact",4,4,1.0000,72.00,104,106,106,0.00,0.00,0.00,0.00,0.00,
policy+placement,"policy=member-formula-rate, placement=rack-compact",4,4,1.0000,72.00,104,106,106,0.00,0.00,0.00,0.00,0.00,
policy+placement,"policy=sequential-smart-recovery, placement=rack-compact",4,4,1.0000,92.00,60,128,128,0.00,0.00,0.00,0.00,1020.00,
policy+placement,"policy=static-lossless-rate, placement=random-balanced",4,3,0.7500,56.50,106,131,155,1090.75,875.75,945.75,0.00,345.00,101
policy+placement,"policy=member-formula-rate, placement=random-balanced",4,3,0.7500,56.50,106,131,155,1090.75,875.75,945.75,0.00,345.00,101
policy+placement,"policy=static-lossless-rate, placement=global-spread",4,3,0.7500,56.50,106,138,161,1407.50,1008.75,1167.25,0.00,416.75,106
policy+placement,"policy=member-formula-rate, placement=global-spread",4,3,0.7500,56.50,106,138,161,1407.50,1008.75,1167.25,0.00,416.75,106
policy+placement,"policy=sequential-smart-recovery, placement=random-balanced",4,3,0.7500,136.60,94,353,356,901.50,695.50,798.50,0.00,1497.75,35
policy+placement,"policy=sequential-smart-recovery, placement=global-spread",4,3,0.7500,140.40,94,375,382,1101.50,779.50,940.50,0.00,1589.25,44
policy+placement,"policy=intermediate-rate, placement=rack-compact",4,2,0.5000,36.00,64,79,79,3254.50,3123.50,3126.00,0.00,728.50,38
policy+placement,"policy=smart-recovery-max-rate, placement=rack-compact",4,2,0.5000,37.00,58,67,68,3170.50,3104.50,3104.50,0.00,668.50,27
policy+placement,"policy=phase-offset-smart-recovery, placement=rack-compact",4,2,0.5000,37.33,59,68,75,3162.25,3101.00,3101.00,10.50,677.75,31
policy+placement,"policy=intermediate-rate, placement=random-balanced",4,2,0.5000,49.33,49,89,92,4163.75,3177.75,3378.50,0.00,1005.50,46
policy+placement,"policy=smart-recovery-max-rate, placement=random-balanced",4,2,0.5000,49.67,50,84,90,4015.00,3340.00,3468.00,0.00,1047.75,52
policy+placement,"policy=phase-offset-smart-recovery, placement=random-balanced",4,2,0.5000,50.33,51,83,88,4086.50,3320.00,3474.00,10.50,1031.25,52
policy+placement,"policy=phase-offset-smart-recovery, placement=global-spread",4,2,0.5000,52.00,52,83,88,4764.50,3536.50,3826.50,10.50,1143.50,53
policy+placement,"policy=smart-recovery-max-rate, placement=global-spread",4,2,0.5000,52.00,52,85,88,4577.25,3459.00,3772.25,0.00,1139.75,47
policy+placement,"policy=intermediate-rate, placement=global-spread",4,2,0.5000,56.00,56,92,98,4578.25,3154.00,3586.00,0.00,1109.00,57
policy+placement,"policy=no-recovery-max-rate, placement=global-spread",4,0,0.0000,,18,18,18,2002.00,0.00,0.00,0.00,301.00,
